ID;LANGUAGE_ID;ACRONYM;LABEL
GUENGL;SL;GUE/NGL;Konfederalna skupina Evropske združene levice - Zelene nordijske levice
GUENGL;SV;GUE/NGL;Gruppen Europeiska enade vänstern/Nordisk grön vänster
GREENSEFA;EN;Greens/EFA;Group of the Greens/European Free Alliance
GREENSEFA;ES;Verdes/ALE;Grupo de los Verdes/Alianza Libre Europea
GREENSEFA;BG;Зелените/ECA;Група на Зелените/Европейски свободен алианс
GREENSEFA;CS;Zelení/ESA;Skupina Zelených/Evropské svobodné aliance
GREENSEFA;DA;Grønne/EFA;Gruppen De Grønne/Den Europæiske Fri Alliance
GREENSEFA;DE;Grüne/EFA;Fraktion der Grünen / Freie Europäische Allianz
GREENSEFA;EL;Verts/ALE;Ομάδα τωv Πρασίvωv / Ευρωπαϊκή Ελεύθερη Συμμαχία
GREENSEFA;ET;Rohelised/EVF;Roheliste / Euroopa Vabaliidu fraktsioon
GREENSEFA;FI;Vihreät/EVA;Vihreät / Euroopan vapaa allianssi -ryhmä
GREENSEFA;FR;Verts/ALE;Groupe des Verts/Alliance libre européenne
GREENSEFA;GA;Na Glasaigh/SCE;An Grúpa Glas/Grúpa na Saor-Comhghuaillíochta Eorpaí
GREENSEFA;HR;Zeleni/ESS;Klub zastupnika Zelenih/Europskog slobodnog saveza
GREENSEFA;HU;Zöldek/ESS;Zöldek/Európai Szabad Szövetség képviselőcsoport
GREENSEFA;IT;Verdi/ALE;Gruppo dei Verdi/Alleanza libera europea
GREENSEFA;LV;Zaļie/EBA;Zaļo un Eiropas Brīvās apvienības grupa
GREENSEFA;LT;Žalieji/ELA;Žaliųjų frakcija/Europos laisvasis aljansas
GREENSEFA;MT;Ħodor/AĦE;Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GREENSEFA;NL;Groenen/EVA;Fractie De Groenen/Vrije Europese Alliantie
GREENSEFA;PL;Zieloni/WSE;Grupa Zielonych / Wolne Przymierze Europejskie
GREENSEFA;PT;Verdes/ALE;Grupo dos Verdes/Aliança Livre Europeia
GREENSEFA;RO;Verts/ALE;Grupul Verzilor/Alianța Liberă Europeană
GREENSEFA;SK;Zelení/ESA;Skupina zelených/Európska slobodná aliancia
GREENSEFA;SL;Zeleni/ESZ;Skupina Zelenih/Evropske svobodne zveze
GREENSEFA;SV;Gröna/EFA;Gruppen De gröna/Europeiska fria alliansen
EFDD;EN;EFDD;Europe of Freedom and Direct Democracy Group
EFDD;ES;EFDD;Grupo Europa de la Libertad y de la Democracia Directa
EFDD;BG;ЕСПД;Група „Европа на свободата и пряката демокрация“
EFDD;CS;EFDD;Skupina „Evropa Svobody a Přímé Demokracie“
EFDD;DA;EFDD;Gruppen for Europæisk Frihed og Direkte Demokrati
EFDD;DE;EFDD;Fraktion Europa der Freiheit und der direkten Demokratie
EFDD;EL;EFDD;Ομάδα Ευρώπη Ελευθερίας και Άμεσης Δημοκρατίας
EFDD;ET;EFDD;Vaba ja Otsedemokraatliku Euroopa fraktsioon
EFDD;FI;EFDD;Vapauden ja suoran demokratian Eurooppa
EFDD;FR;EFDD;Groupe Europe de la liberté et de la démocratie directe
EFDD;GA;EFDD;An Grúpa d’Eoraip na Saoirse agus an Daonlathais Dhírigh
EFDD;HR;EFDD;Klub zastupnika Europe slobode i demokracije
EFDD;HU;EFDD;Szabadság és Közvetlen Demokrácia Európája képviselőcsoport
EFDD;IT;EFDD;Gruppo Europa della Libertà e della Democrazia diretta
EFDD;LV;EFDD;Grupa „Brīvības un tiešās demokrātijas Eiropa”
EFDD;LT;EFDD;Laisvės ir tiesioginės demokratijos Europos frakcija
EFDD;MT;EFDD;Grupp għal Ewropa tal-Libertà u d-Demokrazija Diretta
EFDD;NL;EFDD;Fractie Europa van Vrijheid en Directe Democratie
EFDD;PL;EFDD;Grupa Europa Wolności i Demokracji Bezpośredniej
EFDD;PT;EFDD;Grupo Europa da Liberdade e da Democracia Direta
EFDD;RO;EFDD;Grupul Europa Libertății și Democrației Directe
EFDD;SK;EFDD;Skupina Európa slobody a priamej demokracie
EFDD;SL;EFDD;Skupina Evropa svobode in neposredne demokracije
EFDD;SV;EFDD;Gruppen Frihet och direktdemokrati i Europa
ENF;EN;ENF;Europe of Nations and Freedom Group
ENF;ES;ENL;Grupo Europa de las Naciones y de las Libertades
ENF;BG;ЕНС;Група „Европа на нациите и свободите“
ENF;CS;ENS;Skupina Evropa národů a svobody
ENF;DA;NFE;Gruppen Et Nationernes og Frihedens Europa
ENF;DE;ENF;Fraktion Europa der Nationen und der Freiheit
ENF;EL;ΕΕΕ;Ομάδα «Η Ευρώπη των Εθνών και της Ελευθερίας»
ENF;ET;ENL;Rahvaste ja Vabaduste Euroopa fraktsioon
ENF;FI;KVE;Kansakuntien ja vapauden Eurooppa
ENF;FR;ENL;Groupe Europe des Nations et des Libertés
ENF;GA;ENS;Grúpa Eoraip na Náisiún agus na Saoirse
ENF;HR;ENS;Klub zastupnika Europe nacija i sloboda
ENF;HU;ENF;Nemzetek és Szabadság Európája képviselőcsoport
ENF;IT;ENL;Gruppo Europa delle Nazioni e della Libertà
ENF;LV;ENF;Grupa „Nāciju un brīvības Eiropa”
ENF;LT;ENF;Tautų ir laisvės Europos frakcija
ENF;MT;ENL;Grupp għal Ewropa tan-Nazzjonijiet u tal-Libertà
ENF;NL;ENV;Fractie Europa van Naties en Vrijheid
ENF;PL;ENW;Grupa Europa Narodów i Wolności
ENF;PT;ENL;Grupo Europa das Nações e da Liberdade
ENF;RO;ENL;Grupul Europa Națiunilor și a Libertății
ENF;SK;ENS;Skupina Európa národov a slobody
ENF;SL;ENS;Skupina Evrope narodov in svobode
ENF;SV;ENF;Gruppen Nationernas och friheternas Europa
NA;EN;NI;Non-attached Members
NA;ES;NI;No inscritos
NA;BG;NI;Независими членове
NA;CS;NI;Nezařazení poslanci
NA;DA;NI;Løsgængere
NA;DE;NI;Fraktionslos
NA;EL;NI;Μη Εγγεγραμμένοι
NA;ET;NI;Fraktsioonilise kuuluvuseta parlamendiliikmed
NA;FI;NI;Sitoutumattomat
NA;FR;NI;Non-inscrits
NA;GA;NI;Feisirí Neamhcheangailte
NA;HR;NI;Nezavisni zastupnici
NA;HU;NI;független képviselők
NA;IT;NI;Non iscritti
NA;LV;NI;Pie politiskajām grupām nepiederošie deputāti
NA;LT;NI;Nepriklausomi nariai
NA;MT;NI;Membri mhux affiljati
NA;NL;NI;Niet-fractiegebonden leden
NA;PL;NI;Niezrzeszeni
NA;PT;NI;Não Inscritos
NA;RO;NI;Deputați neafiliați
NA;SK;NI;Nezaradení poslanci
NA;SL;NI;Samostojni poslanci
NA;SV;NI;Grupplösa
Others;GA;Feisirí Eile;Feisirí nuathofa nach mbaineann le grúpa polaitiúil den Pharlaimint amach
Others;BG;Други членове;Новоизбрани членове, които не принадлежат към политическа група на Парламента с изтичащ мандат
Others;ES;Otros;Nuevos diputados electos que no pertenecen a un grupo político del Parlamento saliente
Others;CS;Ostatní;Nově zvolení poslanci, kteří nepatří k žádné z politických skupin bývalého Parlamentu ani k nezařazeným poslancům
Others;DA;Øvrige;Nyvalgte medlemmer, der ikke tilhører en politisk gruppe i det afgående parlament
Others;DE;Sonstige;Neue Mitglieder, die keiner Fraktion des scheidenden Parlaments angehören
Others;ET;Muud;Uued parlamendiliikmed, kes ei kuulu ühessegi ametist lahkuva parlamendikoosseisu fraktsiooni
Others;EL;Λοιποί;Νεοεκλεγέντες που δεν ανήκουν σε πολιτική ομάδα του απερχόμενου Κοινοβουλίου
Others;EN;Others;Newly elected Members not allied to any of the political groups set up in the outgoing Parliament
Others;FR;Autres;Nouveaux élus sans appartenance à un groupe politique du Parlement sortant
Others;HR;Ostali;Novoizabrani zastupnici koji ne pripadaju nijednom klubu zastupnika u Parlamentu pred kraj njegova saziva
Others;IT;Altri;Neoeletti senza appartenenza a un gruppo politico del Parlamento uscente
Others;LV;Citi;Jaunievēlēti deputāti, kas nepieder ne pie vienas no iepriekšējā Parlamenta sasaukuma politiskajām grupām
Others;LT;Kiti;Išrinkti nauji Parlamento nariai, nepriklausantys jokiai buvusios kadencijos Parlamento frakcijai
Others;HU;Egyéb képviselők;Újonnan megválasztott képviselők, akik a leköszönő Parlament egyik képviselőcsoportjához sem tartoznak
Others;MT;Oħrajn;Membri eletti ġodda bla appartenenza għal xi Grupp politiku tal-Parlament  preċedenti
Others;NL;Overigen;Nieuw gekozen leden die niet tot een fractie van het aftredend Parlement behoren
Others;PL;Inni;Nowo wybrani posłowie nieprzynależący do żadnej z grup politycznych ustępującego Parlamentu
Others;PT;Outros;Deputados recém-eleitos não filiados em qualquer dos grupos políticos do Parlamento cessante
Others;RO;Alții;Deputați nou-aleși care nu fac parte din niciun grup politic al Parlamentului care își încheie mandatul
Others;SK;Iní;Novozvolení poslanci, ktorí nepatria do nijakej politickej skupiny bývalého Parlamentu
Others;SL;Drugi;Novoizvoljeni poslanci, ki ne pripadajo nobeni politični skupini v Parlamentu z iztekajočim se mandatom
Others;FI;Muut;Uudet jäsenet, jotka eivät kuulu mihinkään kautensa päättävän parlamentin poliittiseen ryhmään
Others;SV;Övriga;Nyvalda ledamöter som inte tillhör någon politisk grupp i det avgående parlamentet
